{1Black1Blue1Red};{(1,Red).(1,Black).(1,Blue)};{(1,Orange)}
{1Black1Orange1Red};{(1,Red).(1,Black).(1,Orange)};{(1,Blue)}
{1Blue1Orange1Red};{(1,Red).(1,Blue).(1,Orange)};{(1,Black)}
{1Black1Blue1Orange};{(1,Black).(1,Blue).(1,Orange)};{(1,Red)}
{2Black2Blue2Red};{(2,Red).(2,Black).(2,Blue)};{(2,Orange)}
{2Black2Orange2Red};{(2,Red).(2,Black).(2,Orange)};{(2,Blue)}
{2Blue2Orange2Red};{(2,Red).(2,Blue).(2,Orange)};{(2,Black)}
{2Black2Blue2Orange};{(2,Black).(2,Blue).(2,Orange)};{(2,Red)}
{3Black3Blue3Red};{(3,Red).(3,Black).(3,Blue)};{(3,Orange)}
{3Black3Orange3Red};{(3,Red).(3,Black).(3,Orange)};{(3,Blue)}
{3Blue3Orange3Red};{(3,Red).(3,Blue).(3,Orange)};{(3,Black)}
{3Black3Blue3Orange};{(3,Black).(3,Blue).(3,Orange)};{(3,Red)}
{4Black4Blue4Red};{(4,Red).(4,Black).(4,Blue)};{(4,Orange)}
{4Black4Orange4Red};{(4,Red).(4,Black).(4,Orange)};{(4,Blue)}
{4Blue4Orange4Red};{(4,Red).(4,Blue).(4,Orange)};{(4,Black)}
{4Black4Blue4Orange};{(4,Black).(4,Blue).(4,Orange)};{(4,Red)}
{5Black5Blue5Red};{(5,Red).(5,Black).(5,Blue)};{(5,Orange)}
{5Black5Orange5Red};{(5,Red).(5,Black).(5,Orange)};{(5,Blue)}
{5Blue5Orange5Red};{(5,Red).(5,Blue).(5,Orange)};{(5,Black)}
{5Black5Blue5Orange};{(5,Black).(5,Blue).(5,Orange)};{(5,Red)}
{6Black6Blue6Red};{(6,Red).(6,Black).(6,Blue)};{(6,Orange)}
{6Black6Orange6Red};{(6,Red).(6,Black).(6,Orange)};{(6,Blue)}
{6Blue6Orange6Red};{(6,Red).(6,Blue).(6,Orange)};{(6,Black)}
{6Black6Blue6Orange};{(6,Black).(6,Blue).(6,Orange)};{(6,Red)}
{7Black7Blue7Red};{(7,Red).(7,Black).(7,Blue)};{(7,Orange)}
{7Black7Orange7Red};{(7,Red).(7,Black).(7,Orange)};{(7,Blue)}
{7Blue7Orange7Red};{(7,Red).(7,Blue).(7,Orange)};{(7,Black)}
{7Black7Blue7Orange};{(7,Black).(7,Blue).(7,Orange)};{(7,Red)}
{8Black8Blue8Red};{(8,Red).(8,Black).(8,Blue)};{(8,Orange)}
{8Black8Orange8Red};{(8,Red).(8,Black).(8,Orange)};{(8,Blue)}
{8Blue8Orange8Red};{(8,Red).(8,Blue).(8,Orange)};{(8,Black)}
{8Black8Blue8Orange};{(8,Black).(8,Blue).(8,Orange)};{(8,Red)}
{9Black9Blue9Red};{(9,Red).(9,Black).(9,Blue)};{(9,Orange)}
{9Black9Orange9Red};{(9,Red).(9,Black).(9,Orange)};{(9,Blue)}
{9Blue9Orange9Red};{(9,Red).(9,Blue).(9,Orange)};{(9,Black)}
{9Black9Blue9Orange};{(9,Black).(9,Blue).(9,Orange)};{(9,Red)}
{10Black10Blue10Red};{(10,Red).(10,Black).(10,Blue)};{(10,Orange)}
{10Black10Orange10Red};{(10,Red).(10,Black).(10,Orange)};{(10,Blue)}
{10Blue10Orange10Red};{(10,Red).(10,Blue).(10,Orange)};{(10,Black)}
{10Black10Blue10Orange};{(10,Black).(10,Blue).(10,Orange)};{(10,Red)}
{11Black11Blue11Red};{(11,Red).(11,Black).(11,Blue)};{(11,Orange)}
{11Black11Orange11Red};{(11,Red).(11,Black).(11,Orange)};{(11,Blue)}
{11Blue11Orange11Red};{(11,Red).(11,Blue).(11,Orange)};{(11,Black)}
{11Black11Blue11Orange};{(11,Black).(11,Blue).(11,Orange)};{(11,Red)}
{12Black12Blue12Red};{(12,Red).(12,Black).(12,Blue)};{(12,Orange)}
{12Black12Orange12Red};{(12,Red).(12,Black).(12,Orange)};{(12,Blue)}
{12Blue12Orange12Red};{(12,Red).(12,Blue).(12,Orange)};{(12,Black)}
{12Black12Blue12Orange};{(12,Black).(12,Blue).(12,Orange)};{(12,Red)}
{13Black13Blue13Red};{(13,Red).(13,Black).(13,Blue)};{(13,Orange)}
{13Black13Orange13Red};{(13,Red).(13,Black).(13,Orange)};{(13,Blue)}
{13Blue13Orange13Red};{(13,Red).(13,Blue).(13,Orange)};{(13,Black)}
{13Black13Blue13Orange};{(13,Black).(13,Blue).(13,Orange)};{(13,Red)}
{1Black1Blue1Orange1Red};{(1,Red).(1,Black).(1,Blue).(1,Orange)};{}
{2Black2Blue2Orange2Red};{(2,Red).(2,Black).(2,Blue).(2,Orange)};{}
{3Black3Blue3Orange3Red};{(3,Red).(3,Black).(3,Blue).(3,Orange)};{}
{4Black4Blue4Orange4Red};{(4,Red).(4,Black).(4,Blue).(4,Orange)};{}
{5Black5Blue5Orange5Red};{(5,Red).(5,Black).(5,Blue).(5,Orange)};{}
{6Black6Blue6Orange6Red};{(6,Red).(6,Black).(6,Blue).(6,Orange)};{}
{7Black7Blue7Orange7Red};{(7,Red).(7,Black).(7,Blue).(7,Orange)};{}
{8Black8Blue8Orange8Red};{(8,Red).(8,Black).(8,Blue).(8,Orange)};{}
{9Black9Blue9Orange9Red};{(9,Red).(9,Black).(9,Blue).(9,Orange)};{}
{10Black10Blue10Orange10Red};{(10,Red).(10,Black).(10,Blue).(10,Orange)};{}
{11Black11Blue11Orange11Red};{(11,Red).(11,Black).(11,Blue).(11,Orange)};{}
{12Black12Blue12Orange12Red};{(12,Red).(12,Black).(12,Blue).(12,Orange)};{}
{13Black13Blue13Orange13Red};{(13,Red).(13,Black).(13,Blue).(13,Orange)};{}
{1Red2Red3Red};{(1,Red).(2,Red).(3,Red)};{(4,Red)}
{2Red3Red4Red};{(2,Red).(3,Red).(4,Red)};{(5,Red).(1,Red)}
{3Red4Red5Red};{(3,Red).(4,Red).(5,Red)};{(6,Red).(2,Red)}
{4Red5Red6Red};{(4,Red).(5,Red).(6,Red)};{(7,Red).(3,Red)}
{5Red6Red7Red};{(5,Red).(6,Red).(7,Red)};{(8,Red).(4,Red)}
{6Red7Red8Red};{(6,Red).(7,Red).(8,Red)};{(9,Red).(5,Red)}
{7Red8Red9Red};{(7,Red).(8,Red).(9,Red)};{(10,Red).(6,Red)}
{8Red9Red10Red};{(8,Red).(9,Red).(10,Red)};{(11,Red).(7,Red)}
{9Red10Red11Red};{(9,Red).(10,Red).(11,Red)};{(12,Red).(8,Red)}
{10Red11Red12Red};{(10,Red).(11,Red).(12,Red)};{(13,Red).(9,Red)}
{11Red12Red13Red};{(11,Red).(12,Red).(13,Red)};{(10,Red)}
{1Black2Black3Black};{(1,Black).(2,Black).(3,Black)};{(4,Black)}
{2Black3Black4Black};{(2,Black).(3,Black).(4,Black)};{(5,Black).(1,Black)}
{3Black4Black5Black};{(3,Black).(4,Black).(5,Black)};{(6,Black).(2,Black)}
{4Black5Black6Black};{(4,Black).(5,Black).(6,Black)};{(7,Black).(3,Black)}
{5Black6Black7Black};{(5,Black).(6,Black).(7,Black)};{(8,Black).(4,Black)}
{6Black7Black8Black};{(6,Black).(7,Black).(8,Black)};{(9,Black).(5,Black)}
{7Black8Black9Black};{(7,Black).(8,Black).(9,Black)};{(10,Black).(6,Black)}
{8Black9Black10Black};{(8,Black).(9,Black).(10,Black)};{(11,Black).(7,Black)}
{9Black10Black11Black};{(9,Black).(10,Black).(11,Black)};{(12,Black).(8,Black)}
{10Black11Black12Black};{(10,Black).(11,Black).(12,Black)};{(13,Black).(9,Black)}
{11Black12Black13Black};{(11,Black).(12,Black).(13,Black)};{(10,Black)}
{1Blue2Blue3Blue};{(1,Blue).(2,Blue).(3,Blue)};{(4,Blue)}
{2Blue3Blue4Blue};{(2,Blue).(3,Blue).(4,Blue)};{(5,Blue).(1,Blue)}
{3Blue4Blue5Blue};{(3,Blue).(4,Blue).(5,Blue)};{(6,Blue).(2,Blue)}
{4Blue5Blue6Blue};{(4,Blue).(5,Blue).(6,Blue)};{(7,Blue).(3,Blue)}
{5Blue6Blue7Blue};{(5,Blue).(6,Blue).(7,Blue)};{(8,Blue).(4,Blue)}
{6Blue7Blue8Blue};{(6,Blue).(7,Blue).(8,Blue)};{(9,Blue).(5,Blue)}
{7Blue8Blue9Blue};{(7,Blue).(8,Blue).(9,Blue)};{(10,Blue).(6,Blue)}
{8Blue9Blue10Blue};{(8,Blue).(9,Blue).(10,Blue)};{(11,Blue).(7,Blue)}
{9Blue10Blue11Blue};{(9,Blue).(10,Blue).(11,Blue)};{(12,Blue).(8,Blue)}
{10Blue11Blue12Blue};{(10,Blue).(11,Blue).(12,Blue)};{(13,Blue).(9,Blue)}
{11Blue12Blue13Blue};{(11,Blue).(12,Blue).(13,Blue)};{(10,Blue)}
{1Orange2Orange3Orange};{(1,Orange).(2,Orange).(3,Orange)};{(4,Orange)}
{2Orange3Orange4Orange};{(2,Orange).(3,Orange).(4,Orange)};{(5,Orange).(1,Orange)}
{3Orange4Orange5Orange};{(3,Orange).(4,Orange).(5,Orange)};{(6,Orange).(2,Orange)}
{4Orange5Orange6Orange};{(4,Orange).(5,Orange).(6,Orange)};{(7,Orange).(3,Orange)}
{5Orange6Orange7Orange};{(5,Orange).(6,Orange).(7,Orange)};{(8,Orange).(4,Orange)}
{6Orange7Orange8Orange};{(6,Orange).(7,Orange).(8,Orange)};{(9,Orange).(5,Orange)}
{7Orange8Orange9Orange};{(7,Orange).(8,Orange).(9,Orange)};{(10,Orange).(6,Orange)}
{8Orange9Orange10Orange};{(8,Orange).(9,Orange).(10,Orange)};{(11,Orange).(7,Orange)}
{9Orange10Orange11Orange};{(9,Orange).(10,Orange).(11,Orange)};{(12,Orange).(8,Orange)}
{10Orange11Orange12Orange};{(10,Orange).(11,Orange).(12,Orange)};{(13,Orange).(9,Orange)}
{11Orange12Orange13Orange};{(11,Orange).(12,Orange).(13,Orange)};{(10,Orange)}
{1Red2Red3Red4Red};{(1,Red).(2,Red).(3,Red).(4,Red)};{(5,Red)}
{2Red3Red4Red5Red};{(2,Red).(3,Red).(4,Red).(5,Red)};{(6,Red).(1,Red)}
{3Red4Red5Red6Red};{(3,Red).(4,Red).(5,Red).(6,Red)};{(7,Red).(2,Red)}
{4Red5Red6Red7Red};{(4,Red).(5,Red).(6,Red).(7,Red)};{(8,Red).(3,Red)}
{5Red6Red7Red8Red};{(5,Red).(6,Red).(7,Red).(8,Red)};{(9,Red).(4,Red)}
{6Red7Red8Red9Red};{(6,Red).(7,Red).(8,Red).(9,Red)};{(10,Red).(5,Red)}
{7Red8Red9Red10Red};{(7,Red).(8,Red).(9,Red).(10,Red)};{(11,Red).(6,Red)}
{8Red9Red10Red11Red};{(8,Red).(9,Red).(10,Red).(11,Red)};{(12,Red).(7,Red)}
{9Red10Red11Red12Red};{(9,Red).(10,Red).(11,Red).(12,Red)};{(13,Red).(8,Red)}
{10Red11Red12Red13Red};{(10,Red).(11,Red).(12,Red).(13,Red)};{(9,Red)}
{1Black2Black3Black4Black};{(1,Black).(2,Black).(3,Black).(4,Black)};{(5,Black)}
{2Black3Black4Black5Black};{(2,Black).(3,Black).(4,Black).(5,Black)};{(6,Black).(1,Black)}
{3Black4Black5Black6Black};{(3,Black).(4,Black).(5,Black).(6,Black)};{(7,Black).(2,Black)}
{4Black5Black6Black7Black};{(4,Black).(5,Black).(6,Black).(7,Black)};{(8,Black).(3,Black)}
{5Black6Black7Black8Black};{(5,Black).(6,Black).(7,Black).(8,Black)};{(9,Black).(4,Black)}
{6Black7Black8Black9Black};{(6,Black).(7,Black).(8,Black).(9,Black)};{(10,Black).(5,Black)}
{7Black8Black9Black10Black};{(7,Black).(8,Black).(9,Black).(10,Black)};{(11,Black).(6,Black)}
{8Black9Black10Black11Black};{(8,Black).(9,Black).(10,Black).(11,Black)};{(12,Black).(7,Black)}
